,id,doc_type,date,start_time,end_time,description,student_id
0,ASSS_SI_01_Part1,Time Out Room Log,Time entered:,10/2/17,12:11,"and another Student be- -2gan arguing about who was "" I As the verbal exchange escalated; a",
1,ASSS_SI_01_Part10,Time Out Room Log,10/3/17,Time exited:,10-25 AM,ECA assignment. chase began to punch staFFexcessively.Behavior during time out:,
2,ASSS_SI_01_Part11,Time Out Room Log,Time entered:,Time exited:,10/20/17,did not earn club privaleges-- he was askedto choose lof 2 assignments,
3,ASSS_SI_01_Part12,Time Out Room Log,Date: 10/25/17,Time exited:,Date: 10/25/17,around classroom- walking to time-out can away fromC.T. staff. - (making threats during autBehavior during time out:,
4,ASSS_SI_01_Part13,Time Out Room Log,,,,"4 help Shrew his pencil across classroomreferrate do his work, refused effecsand pushed desk c) chair",
5,ASSS_SI_01_Part14,Time Out Room Log,,,,"was taking Walks around the room to avoid work, not followingdirections, Not responding to offers of a break or help. He beganto be unsafe and was walked to time out.",
6,ASSS_SI_01_Part15,Time Out Room Log,Date: 10/6/2017,Time exited:,Date: 10/6/2017,"had anaccident he complied 9 want to the room to pick and clothes of went to theB- room, refused to charge, slammed 9 punched B. room door -ried to throw the willeap",
7,ASSS_SI_01_Part16,Time Out Room Log,Time entered:,Time exited:,10/24/2017,"was not able to watal the MOVIL duringlunch , Me nt his lunch , cleaned up his trayoat down of started bansing an the table. He was told Are was goung to start getting.Checko if he didn't stop.At this point his weat back to the cubbios of laid an the floor",
8,ASSS_SI_01_Part17,Time Out Room Log,Date: 10/25/17,Time entered: 10:15,Time exited: 10:17,,
9,ASSS_SI_01_Part18,Time Out Room Log,10/28/17,Time exited:,11:56,,
10,ASSS_SI_01_Part19,Time Out Room Log,,,,"walked into PE and spit onanother Student, He was walked tothe breakroom.",
11,ASSS_SI_01_Part2,Time Out Room Log,Date: 10/2/17,940,Time exited: 9:43,"h was using I happropriate languagecontinued during breaktime to swear. She while was sitting reminded at her of desk expectations she was theazing She m/otherstudent who prompted ner to flipadesk, she did,",
12,ASSS_SI_01_Part20,Time Out Room Log,,,,"He was restrained in the hall then walked to 1,00,permission, Ran up and down the hallways,left they classroom without reason or",
13,ASSS_SI_01_Part21,Time Out Room Log,,,,seat. He is very loud and not followingis having trouble strying Still in hisdirections. He Ranout of the classroom . Running down the,
14,ASSS_SI_01_Part22,Time Out Room Log,,,,"WAS ON THE PC AND A GAME WASN'T WORKING. HeQUICKLY ESCALATED AND COULDN'T RESPOND TO CALMING WORDS OFENCORAGEMENT: YOU'RE GOING to BE CKAY. TRY TO RELAX BREATHE, ETC.",
15,ASSS_SI_01_Part23,Time Out Room Log,,,,"throwing paper on the floor betting angry whiledoing Read out loud. Body not in control, WalkingTrying to",
16,ASSS_SI_01_Part24,Time Out Room Log,Date: 105,Time entered: 12153,1:12,to get angry. throwing things and nicking Ye lingwhile leaving the room.Behavior during time out:,
17,ASSS_SI_01_Part25,Time Out Room Log,,,,Running in the hallway. not following directionsunsateBehavior during time out,
18,ASSS_SI_01_Part26,Time Out Room Log,,,,"walked over and Ricked another studentscreaming, under the table, ripping up AMWORKHit and bit staff on the way to TO",
19,ASSS_SI_01_Part27,Time Out Room Log,,,,,
20,ASSS_SI_01_Part28,Time Out Room Log,,,,"Unable to use classroom break area , wandering theroom refusing to follow directions , / yelling at peerstrying to work",
21,ASSS_SI_01_Part29,Time Out Room Log,10/4,9:00,Time exited: 9:15,"yelling , unable to follow directionsBehavior during time out:Behavior upon exiting:",
22,ASSS_SI_01_Part3,Time Out Room Log,10/2/17,1:50,2:00 .,"was swearing in class, other studentwereremoved,",
23,ASSS_SI_01_Part30,Time Out Room Log,Time entered:,925,Time exited: 9:40,"walked in class, began yelling at teacher and peers, ripped. uppoint sheetBehavior during time out:",
24,ASSS_SI_01_Part31,Time Out Room Log,Date: 10/5/17,Time entered: 9:57am,Date: 10/5/17,,
25,ASSS_SI_01_Part32,Time Out Room Log,Date: 10/5,,,"Thpowing stuff at people, not following directions.unsafe behaviorBehavior during time out:",
26,ASSS_SI_01_Part33,Time Out Room Log,Time entered:,Time exited:,10/10,"Pushing desk toward other students, unable to follow directionsunable to tale abrea (Behavior during time out:",
27,ASSS_SI_01_Part4,Time Out Room Log,10/17/13,Time exited:,9:20,became aggressive withhis basketball opponents in gym. He was directed tosit out t take a break. when he returned he contined,
28,ASSS_SI_01_Part5,Time Out Room Log,Date: 10/17/17,Time exited:,Date: 10/17/17,"disturbing othersshouting in classroom,Behavior during time out:",
29,ASSS_SI_01_Part6,Time Out Room Log,Date: 10/24/17,Time exited:,Date: 10/24/17,"to vandalize school computer, using physicalfence to restrict staff mobilityBehavior during time out:",
