,id,school_building,date,restraint_began,restraint_end,seclusion_start,seclusion_end,restraint_type,doc_type,description
0,COH_RISI_01_Part1,School:HH,Date of Incident: 5/24/16,Time restraint ended:,Seclusion utilized?,9:12,Time seclusion ended: 9:35,Children's control position,,
1,COH_RISI_01_Part10,School:HH,3/30/16,,Time restraint ended: 10:43,,Location of Incident.,,CPI Physical Restraint and/or Seclusion Incident Report,was continuously screaming at the other students in
2,COH_RISI_01_Part11,School: Harmony HillIncident Description,Date of Incident: 3/30/16,Time restraint began: 9:10,Time restraint ended: 9:10,Time seclusion began: 9:11,Time seclusion ended: 9:27,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,After
3,COH_RISI_01_Part12,School:HH,3/29/12,Time restraint began: 9:07,Time restraint ended: 9:08,Time seclusion began: 9:08,Time seclusion ended: 9:10,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,began screaming at Miss
4,COH_RISI_01_Part13,School:HH,3/29/16,10:14,Time restraint ended: 10:15,Time seclusion began: 10:15,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,yelled at teachers and then ran from the classroom.
5,COH_RISI_01_Part14,School: Harmony HillIncident Description,Date of Incident: 3/14/16,Time restraint began: 11:36,Time restraint ended: 11:36,Time seclusion began: 11:37,Time seclusion ended: 12:00,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Punch teacher several times
6,COH_RISI_01_Part15,School: HHIncident Description,1/6/16,Time restraint began: 9:00,Time restraint ended: 9:05,Time seclusion began: 9:15,9:30,Children's control position,,Bolted from teachers in cafeteria kicking and biting
7,COH_RISI_01_Part16,School: Har many HillIncident Description,Date of Incident: 1/5/15,Time restraint began: 11:20,Time restraint ended: 11:25,Time seclusion ended: NA,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,towards students desks grabbing d throwing objects at
8,COH_RISI_01_Part17,School:HH,1/4/16,Time restraint began: 9:39,Time restraint ended: 9:39,Time seclusion began: 9:39,Time seclusion ended: 9:55,Children's control position,,When trying to get
9,COH_RISI_01_Part18,School: Harmony HillIncident Description,Date of Incident: 2/11/16,-,Seclusion utilized?,Time seclusion began: 11:38,Time seclusion ended: 11:56,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"Bolt from classroom, bit and kicked staff during transport"
10,COH_RISI_01_Part19,School: Harmony Hill2/9/16,Date of Incident: 11:35 AM,Time restraint began: 11:35,Time restraint ended: 11:40,Time seclusion began: 11:40,Time seclusion ended: 1200,"will make you bleed"" + i I an sonsto",CPI Physical Restraint and/or Seclusion Incident Report,walked to teacher desk and attempted to throw school
11,COH_RISI_01_Part2,School: HHIncident Description,Date of Incident: 5/24/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:00,Time seclusion ended: 2:15,Children's control position,,
12,COH_RISI_01_Part20,School: Harmony HillIncident Description,Date of Incident: 2/29/16,Time restraint began: 10:46,Time restraint ended: 11:06,-,-,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"immediately charsed at staff, punched staff repeatedly."
13,COH_RISI_01_Part21,School: Harmony HillIncident Description,Date of Incident: 2/26/16,Time restraint began: 11:38,Time restraint ended: 11:42,Time seclusion began: 11:43,Time seclusion ended: 11:58,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Student threw papers off of
14,COH_RISI_01_Part22,School: Harmony HillIncident Description,1/29/16,-,-,Time seclusion began: 9:50,Time seclusion ended: 10:05,face.,CPI Physical Restraint and/or Seclusion Incident Report,"shout in Rafael's face 11 I'm going to kill you mother fueker"""
15,COH_RISI_01_Part23,School: Harmony HillIncident Description,Date of Incident: 2/5/16,925,Time restraint ended: 935,935,1005,,CPI Physical Restraint and/or Seclusion Incident Report,"ran to classroom table, ripped student work and"
16,COH_RISI_01_Part24,School: Harmony HillIncident Description,Date of Incident: 2/4/16,Time restraint began: 9:35,Time restraint ended: 9:45,Time seclusion began: 9:45,Time seclusion ended: 10:00,"Staff in Face, bit starf in",CPI Physical Restraint and/or Seclusion Incident Report,student was non compliant during individual countring
17,COH_RISI_01_Part25,School: Harmony HillIncident Description (student was restrained in T/A.),Date of Incident: 2/2/16,Time restraint began: 9:08,Time restraint ended: 9:19,Time seclusion ended:,Location of Incident:,"staft, punched",CPI Physical Restraint and/or Seclusion Incident Report,"Punch t Kick staff, transport to T/A , repeated atterpts"
18,COH_RISI_01_Part26,School: Harmony HillIncident Description,Time restraint began: 9:45,Time restraint began: 9:45,Time restraint ended: 9:50,Time seclusion began: 9:50,Time seclusion ended: 10:05,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,bolted from classroom. staff prompted
19,COH_RISI_01_Part27,School: Harmony HillIncident Description,Date of Incident: 1/19/16,Time restraint began: 9: 15,Time restraint ended: 9:20,Time seclusion began: 9:20,Time seclusion ended: 9:36,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Student walked to quiet anter_ the then began to
