,id,doc_type,restrict_type,date,grade,duration,description,injury
0,NOCO_RISI_01_Part1,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,10/17/17,5th,19 min,"refused to begin his math. instrad of taking a breaklike directed, he began to scream. He was again directed tothe sensory room, and again refused. Since the sensery room an aa restraint did not work , was escarted to thequiet room.",
1,NOCO_RISI_01_Part10,,,Date: 5/2/17,Grade: 3rd,11min,"was directed to sit at the table fordirections. He refused, yelled, threw materials, andwrsed at teachers. He kicked the door and needed touse the quiet room to get safe.Behavior entering time out room:",
2,NOCO_RISI_01_Part100,ASC Time Out Room Log - Room 9,ASC Time Out Room Log - Room 9,Date: 10 / 28 / 16,Grade: 4th,7 min,went after another student in thewhen the other student hid to theside he tried running out of the room.Behavior entering time out room:was screaming and cursing,
3,NOCO_RISI_01_Part1000,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,,Date: 11/12/19,Grade: 2,uration: 11 minutes,"Rippingstudent Work out of cubbies opened, water bottle andthrew acto tipoed over furniture (lego bin), Climbingcubbies, threw binder Fing atEmergency used:",Time each party checked by school nurse
4,NOCO_RISI_01_Part1002,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with Care Restraint (small child),Date: 11/12/19,Grade: 2,Curation: 10 minutes,"throwing dumping Materials in roomin the direction of staff.Drawing on tables, pushing tables around ram and toward students,Emergency Intervention(s) used:Handle with Care Restraint (small child)Curation: 10 minutes",Time each norts checked by school nurse
5,NOCO_RISI_01_Part1004,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with care two person escort,Date: 1/30/19,/,Life Space Interview conducted by (staff name):,"STudent was hitting kicking & Throwis items at SERP,Emergency Intervention(s) used:Handle with care two person escortDuration: less than I minuteLife Space Interview conducted by (staff name):",Parent/Guardian contacted: (circle) Yes
6,NOCO_RISI_01_Part1005,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,2 person escort,1/7/19,/,10 seconds,Student was Kicking and hiting Staff. Attempted to throw Chairsat staff. making gun motion with handsEmergency Intervention(s) used:2 person escortDuration:,Parent/Guardian contacted: (circle) Yes / No When:
7,NOCO_RISI_01_Part1006,,,,,,,
8,NOCO_RISI_01_Part1007,,,,,,,
9,NOCO_RISI_01_Part1008,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 1/11/7/19,,17/19,I,Duration: 10 seconds,"and around classmater Toppied Shelves and tried tobunched, and kicked staff Threw heavy objects atrun out of classionEmergency Intervention(s).used:2 person is cort",Time each party checked by school nurse
10,NOCO_RISI_01_Part1009,,,,,,,
11,NOCO_RISI_01_Part101,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 10 / 28 / 16,Grade: 4th,14 min,"came into the classroom loud and disruptive.He began disrupting the other learners and wasunable to listen to teacher directionsBehavior entering time out room:began Singing loudly, saying inappropriate",
12,NOCO_RISI_01_Part1010,,,,,,,
13,NOCO_RISI_01_Part1011,,,,,,,
14,NOCO_RISI_01_Part1012,,,,,,,
15,NOCO_RISI_01_Part1013,,,,,,,
16,NOCO_RISI_01_Part1014,,,,,,,
17,NOCO_RISI_01_Part1015,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,,Date: 12/4/18,Grade: 1st,Duration: 10 seconds,kickinghitting throwing materialsatchedonto was removedand escarte d into calming romEmergency Intervention(s used:2 person escort,Time each party checked by school nurse
18,NOCO_RISI_01_Part1016,,,,,,,
19,NOCO_RISI_01_Part1017,,,,,,,
20,NOCO_RISI_01_Part1018,,,,,,,
21,NOCO_RISI_01_Part1019,,,,,,,
22,NOCO_RISI_01_Part102,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 0 / 26/ 16,Grade: 4th,Elapsed Time: Smin of 7min,was being unsate in a grouplearning setting with other students around.He was not listening and did not havecontrol over his body.Behavior entering time out room:,
23,NOCO_RISI_01_Part1020,,2 Person esclort into time out room from Light,Date: 12/3/18,J,Duration: 30 see.,"was unsafre, hitting staff, kicking, throwing objects,dumping cabinets.Emergency Intervention(s) used:2 Person esclort into time out room from Lightin front off T/O room door.",broke plant
24,NOCO_RISI_01_Part1021,Incident Involving an Emergency Intervention,2person escort,Date: 12/3/18,/,Duration: 15 seconds,"climbed on cubbies poured water on staff, lifted andbe gan Throwing materials at staff opened back doorLicked and punched staffEmergency Intervention(s) used:2person escort",Parent/Guardian contacted: (circle)
25,NOCO_RISI_01_Part1022,,,,,,,
26,NOCO_RISI_01_Part1023,,,,,,,
27,NOCO_RISI_01_Part1024,,,,,,,
28,NOCO_RISI_01_Part1025,,,,,,,
29,NOCO_RISI_01_Part1026,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,was guided down harway and into road,Date: 11/30/18,Grade: 1st,Duration: 1 Min,"r an out of classroom and i nto a staff membeHe continued running down Hanway knocking materialsoff the le dge. Hehit, kidled, punched and kicked start. stafftricto geescalatteand the opportunity to sit calmi where he was but he continued to",ahole inthe backofit
30,NOCO_RISI_01_Part1027,Incident Involving an Emergency Intervention,was quicted down hallway and and into Each,Date: 11/30/18,Grade: 1st,whom had a hand backan,"ranintoran out of the classroom, a staff member, continuedrunning knocked off materials from ledge in hallway hit, punched and kicked staffstarf tried to deescalate in the hallway but Justin was extremell unset was owendirectives andth opportunity to Sit calming where he was but commue d to cally l seglate He was then",Timeout room
31,NOCO_RISI_01_Part1028,,,,,,,
32,NOCO_RISI_01_Part1029,,,,,,,
33,NOCO_RISI_01_Part103,,,,,,,
34,NOCO_RISI_01_Part1030,Incident Involving an Emergency Intervention,2 person escort,Date: 10/16/18,l,Life Space Interview conducted by (staff name):,"Student was laying down in the hallway, refusing to moreStudent got up and attempted to run away twice student wasin hallway after he ran out of classroomEmergency Intervention(s) used:2 person escort",Parent/Gnardian contacted: (circle)
35,NOCO_RISI_01_Part1031,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,2 person escort,9-27-18,I,Duration: 20 seconds,"whipped staff with headphone auxilary cord, spit atstaff tried to pullEmergency Intervention(s) used:2 person escortDuration: 20 seconds",Parent/Guardian contacted: (circle)
36,NOCO_RISI_01_Part1032,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 9/25/18,him,Date: 9.25.18,),Duration: 45 minutes,,Parent/Guardian contacted: (circle Yes / No When: 10:45 by what method: phone
