,id,doc_type,school_name,date,restraint_type,duration,description
0,SUL_RI_01_Part1,BEHAVIORAL INCIDENT REPORT,Program:WSS Sp Ed Date of Incident: 2/4/2016,WSS Sp Ed Date of Incident: 2/4/2016,Type of Hold:Standing Hold2 Person3 PersonDuration of Hold:0,0,"Per staff in A-1 -was asked to transition to language, he then ran to the corner of the room and disrobe. Staff helpedhim put his underwear back on. He then became aggressive and was put in a small child hold for approximately 5 minutesby classroom staff..Your Actions:"
1,SUL_RI_01_Part10,BEHAVIORAL INCIDENT REPORT,Program:Click here to enter text. Date of Incident: 2/8/2016,Click here to enter text. Date of Incident: 2/8/2016,Type of Hold:Duration of Hold: 0 hr(s) 5 min(s)Danger of physical injury to selfRationale for Physical Intervention Used:Danger of physical injury to staffDanger of physical injury to others,Duration of Hold: 0 hr(s) 5 min(s),Student was brought in by classroom staff to ALC. He then hit staff and was placed In a sthall child hold.calmsYour Actions:I placed him in a small child hold for five minutes.What did you tell the child about the behavior
2,SUL_RI_01_Part100,BEHAVIORAL INCIDENT REPORT,Program: SPARC Date of Incident: 12/15/2016Day of Week: Mon.,Program: SPARC Date of Incident: 12/15/2016,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 3min(s).,hr(s). 3min(s).,"At 12:31was given a two minute verbal reminder that the timer was going to go off,indicatingthatfree time was over and she had to get off of the computer. At 12:33 the timer went"
3,SUL_RI_01_Part1000,Physical Intervention Incident Report,ProgramITAP,9/25/18,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 2 minutesAntecedents,Duration of Hold: 2 minutes,WAS becoming very aggressive while in ALC.He WAS gnen a direction by ALC stast to SIT at adesk He began to crawl arind and stevAed to nntowards the windows. He opened up the windawswear times ready to jump Oct. He WAS not following
4,SUL_RI_01_Part1001,Physical Intervention Incident Report,ProgramITAP,"Tuesday, September 18, 2018 12:38-12:42PM",Type of Physical Intervention Used:Small ChildStanding HoldxProneDuration of Hold: 4 minutes,Duration of Hold: 4 minutes,"was running around the classroom, locking himself into thebathroom and kicking chairs which led him to be placed in the timeoutroom. Jen Nieves placed him in a standing hold bnt he continued tostruggle and bit Ms. Nieves. ALC was called and I placed him in a HWCPRT due to lack of safety for self and others. Daniel was able to deescalate,"
5,SUL_RI_01_Part1002,Physical Intervention Incident Report,ProgramITAP,9/18/18,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 10 minutesAntecedents,Duration of Hold: 10 minutes,"Given a direction to sit at seat. Got up an ariuna romand attempted to lock himself in the bathroom DoorWAS held open andthen Climbed on top of theSink, jumped off and rammed into me. He WAS then placed"
6,SUL_RI_01_Part1003,Physical Intervention Incident Report,ProgramITAD,9/18/18 1.43,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: AminutesAntecedents,Antecedents,Due to insafe behavior10st privileges on theIpad / compter.began to scream and ran tothe back of the norm He then get up and incel to leave
7,SUL_RI_01_Part1004,Physical Intervention Incident Report,ProgramSpecial Ed,"Monday, September 17, 2018, 11:41",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 4 minutesAntecedents,Duration of Hold: 4 minutes,"Student was not getting her way and trying to avoid doing her work.Being disruptive during class, her demand was to read or have her 1:1 readto her. When finally out of the classroom she was trying to hit and kickstaff, then was placed in a Small child handle with care hold.Medical Assessment"
8,SUL_RI_01_Part1005,Physical Intervention Incident Report,ProgramITAP,"September 17, 2018 1:05-1:12PM",Type of Physical Intervention Used:Small ChildStanding HoldXProneDuration of Hold: 7 minutes,Duration of Hold: 7 minutes,"was kicking and hitting staff, refusing to sit at a student seat andthen became unsafe in the time out room hitting his head against the wall.Due to imminent risk of injury , I implemented a HWC PRTwasable to deescalate, complete the letting go process."
9,SUL_RI_01_Part1006,Physical Intervention Incident Report,ProgramITap,"09/14/2018, 2:03 pm",Type of Physical Intervention Used:Small ChildX Standing HoldProneDuration of Hold: 5 minutes; 2:03 pm to 2:08 pmAntecedents,Duration of Hold: 5 minutes; 2:03 pm to 2:08 pm,"became upset because he was losing at a game of Kahoot! that theclass was playing together. He began to make comments about how heshould be winning, amongst other things, under his breath and then outloud which irritated another classmate who then told him to ""knock it off""as well as ""you shouldn't be getting this upset over a game"". This only"
10,SUL_RI_01_Part1007,Physical Intervention Incident Report,ProgramITAP,"Friday, September 14, 2018 2:08-2:15PM",Type of Physical Intervention Used:Small ChildStanding HoldxProneDuration of Hold: 7 minutes,Duration of Hold: 7 minutes,was in a standing hold and was continuing to be aggressive/not following directions and pushing back on staff member he was in thestanding hold with. I implemented a HWC PRT due tolack ofregard for his own safety as well as putting staff at imminent risk of injury.
11,SUL_RI_01_Part1008,Physical Intervention Incident Report,ProgramITAP,"Thursday, September 13, 2018 8:58-9:00AM",Type of Physical Intervention Used:Small ChildStanding HoldxProneNS,Duration of Hold: 2 minutes,was in the ALC room composing himself after he hadpreviously been in a hold. He voiced that he did not like what was forbreakfast and dumped his entire breakfast in the garbage. He became veryupset when he said he still felt hungry. He began jumping up and downand was requested to go to the time out room to stay safe and have utilize
12,SUL_RI_01_Part1009,Physical Intervention Incident Report,ProgramITAP,"Wednesday, September 13, 2018; 9:13-9:18AM",Type of Physical Intervention Used:Small ChildStanding HoldxProneis,Duration of Hold: 5 minutes,had just returned from the ALC and almost immediatelybegan yelling and throwing desks. He stated he was angry that he threwaway his breakfast and that the school did not have the cereal he liked.was put into a HWC prone hold for his own safety and for thesafety of staff. His classmates had vacated the classroom due to his
13,SUL_RI_01_Part101,BEHAVIORAL INCIDENT REPORT,Program:Special Ed Date of Incident:,12/15/2016,Type of hold: Small ChildXStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 1,hr(s). 1,"While completing his reading workcompleted one out of the three sections that heneeded to complete and became upset that there was more work to complete. We had alreadydiscussed that he was only doing part of his work today since he started his work the previouslesson. He started attempting to throw a desk, which was blocked and began kicking and"
14,SUL_RI_01_Part1010,Physical Intervention Incident Report,ProgramITAP,"Thursday September 13,2018 8:42 AM",Type of Physical Intervention Used:Small ChildStanding HoldxProneDuration of Hold: 4 minutes,Duration of Hold: 4 minutes,was escorted into the Time Out Room and when he wasplaced in there he began to kick and hit staff. The staff attempted to useredirection as well as proximity control to have him follow the directions.still would not follow directions and began to punch and kick me.When
15,SUL_RI_01_Part1011,Physical Intervention Incident Report,Specialized Programs/ITAP ElementaryLocation of Incident,"Thursday, September 13, 2018 (12:33-12:40pm)",Type of Physical Intervention Used:Small ChildStanding HoldXProneDuration of Hold: 7 minutes,Duration of Hold: 7 minutes,was disruptive to his entire class as they tried listening to theirteacher read them a book. He was unable to remain still therefore theclassroom staff gave him the option of taking a break in the classroombreak room. Student refused to accept redirection from staff andattempted to lock himself in the bathroom. Staff escorted student to the
16,SUL_RI_01_Part1012,Physical Intervention Incident Report,ProgramITap,09/13/18 150p-1521,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold:2,2,A verbal alternation occurred betweenand another studentthen chargedat the other student and was subsequentlypaced in or standing hold for 2 menutes.
17,SUL_RI_01_Part1013,Physical Intervention Incident Report,ProgramI TAP,9/13/18 12.43 pm - 12.46pm,Type of Physical Intervention Used:Small ChildStanding HoldProneHSDuration of Hold: 3 minutes,Duration of Hold: 3 minutes,"Became physically aggressive with staff. Hit with anopenMrs. Nieves several times, then ush a closed fistrondpunched Mrs Nieves. After pushing on Mrs Nieves"
18,SUL_RI_01_Part1014,Physical Intervention Incident Report,ProgramSpecial Education,"A day, 9/12/18, 10:35",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 5 minutesAntecedents,Duration of Hold: 5 minutes,"During class, student was refusing to follow directions and do any ofher work. She was being disruptive and asked many times to get her workdone, after stating she did not want to do the work she ran out of the roomand almost out of the building. I stood in front of the classroom door andshe ran at me, screaming, and hit me with a closed fist in my chest. At"
19,SUL_RI_01_Part1015,Physical Intervention Incident Report,Program8:1:1 elementary,"Wednesday, September 12, 2018; 12:12-12:17PM",Type of Physical Intervention Used:Small ChildStanding HoldxProneDuration of Hold: 5 minutes,Duration of Hold: 5 minutes,Student was standing on desk in the ALC and was instructed to get down.I guided student down off desk top and escorted her into time out roomfor safety purposes. Student was kicking and punching myself andbanging her fists on walls. I had advised student she had to remain safe intime out room and when it was obvious that student was going to continue
20,SUL_RI_01_Part1016,Physical Intervention Incident Report,ProgramITAP Elementary,9/12/18 12:37,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold:minutes,minutes,"Student camed behavior over mm special. contruedto escalate when It WAS time tr Math. Beganto hit dest, bang chairs gnen a aurector to go totime at nem (pointee) rensed - then timed it arrndgave T.O rom a chance (5min quet/ caim) became angri"
21,SUL_RI_01_Part1017,Physical Intervention Incident Report,ProgramITAP,"Wednesday, September 12, 2018",Type of Physical Intervention Used:Small ChildStanding HoldXProneDuration of Hold: 5 minutes,Duration of Hold: 5 minutes,"was in the time out room after being restrained once aud beganalmost immediately acting unsafe; ie hitting staff, threatening to banghead. This writer used redirection and managing the environment when Ihad to initiate a HWC prone hold because student was unable todeescalate."
