,Table: Table_1,id,<b> NO Table FOUND </b>
"('2020-2021 ', '1/21/21 11:40 AM ', 'X X was continuously verbally aggressive towards staff and disrupting classroom. After multiple prompts to calm', ' was brought to TO by support ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '1/21/21 1:48 PM ', 'X X ran from classroom with another student and ended outside on front steps with support. Support escorted to timeout to calm. (T/O ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '2/5/21 11:55 AM ', 'X X X X had a difficult time in speech and left without permission. was escorted to T/O when he became physically aggressive with staff. While in T/O', ' said he would stab staff. Support searched and found a smarboard pen. T/O ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '2/9/21 9:50 AM ', 'X X X left tutorial/calming room without permission. Support attempted to have carter return on his own. kicked a support staff and was escorted to time out ( ) to calm. ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '2/9/21 12:55 PM ', 'X X X X requested to use the bathroom but ran from staff afterwords. got on the elevator and was found by support. became physical (kicking) with support and was escorted to T/O ) to calm. ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '4/29/21 9:30 AM ', 'X X X was walked to a tutorial for behavior issues in class. While in tutorial', ' became physically aggressive and needed timeout ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '6/15/21 8:05 AM ', 'X X X X ran from staff after arriving off bus. Support was called to find Support asked to go to tutorial near art room kicked support several times before going to tutorial. Walked to T/O ( ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '10/22/209:45 AM ', ""Kicking other students' materials; was asked to take a break in hallway; eloped from the building; kicking staff; placed in small child; escorted to T.O. "", 'Intervention: Physical Intervention (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '10/22/20 9:45 AM ', ""Kicking other students' materials; was asked to take a break in hallway; eloped from the building; kicking staff; placed in small child; escorted to T.O. "", 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_340,
"('2020-2021 ', '3/2/21 12:40 PM ', 'Student was pulling and kicking staff. Support was called and student was escorted to time out where he stayed for ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2020-2021 ', '3/4/21 8:35 AM ', 'Student fled from the classroom and kicked staff. Support was called and he was escorted to time out where he stayed for ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2020-2021 ', '3/16/21 10:30 AM ', 'Student was hitting staff. Support was called. Student was in time out for ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2020-2021 ', '3/22/21 8:45 AM ', ""Student pulled staff's hair. Support was called and he was walked down to time out where he stayed for He then went into the calming room until he was ready to come back to class. "", 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2020-2021 ', '3/22/21 11:30 AM ', 'Student was hitting staff. Support was called and he was escorted to time out where he stayed for He then used the calming room. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2020-2021 ', '3/12/21 12:05 PM ', 'Student became upset with peers. She ran after them and began to punch them over the head. When staff intervened she became physical with them. Support called and she was walked to TO ( ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_228,
"('2019-2020 ', '3/13/20 11:28 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '10/21/19 1:53 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '12/17/19 1:27 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/4/20 2:08 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/13/20 2:51 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/14/20 11:20 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/27/20 9:45 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/27/20 1:11 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/28/20 2:12 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '3/2/20 12:57 PM Student was escorted back to school after he eloped from staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '3/12/20 11:23 AM Student was physically aggressive towards staff and students. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '7/23/19 1:50 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '7/24/19 10:32 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', 'Student was eloping from staff and was physically aggressive towards 9/9/19 1:00 PM staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '9/17/19 11:31 AM Student was running from staff and trying to bite staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', 'Student displayed unsafe behavior by running from staff and was also 11/14/19 12:10 PM physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '9/5/19 12:20 PM Student was verbally and physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', 'Student displayed unsafe behavior by slamming locker doors and 9/25/19 1:02 PM eloping from staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '10/25/19 11:23 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '11/15/19 11:53 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '1/21/20 11:45 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '1/21/20 12:45 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '7/24/19 12:48 PM Student became physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '2/12/20 12:00 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '8/1/19 12:38 PM Student was throwing food and trying to tip over desks. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '10/1/19 12:47 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '10/9/19 12:15 PM Student was physically aggressive towards staff and students. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '10/18/19 12:27 PM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2019-2020 ', '12/9/19 10:15 AM Student was physically aggressive towards staff. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_185,
"('2018-2019 ', '4/9/19 12:35 PM ', 'Student refused to do math work.Class left for other activity', ' had to complete work first. He started throwing chairs', ' hitting and kicking. Support called', ' escorted to time out. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/10/19 9:50 AM ', 'Refused to complete ELA work. When asked to move to third station', ' he got upset. Began to tip chairs and ran out of class. He tried to run outside and started to hit and kick staff. Support called', ' escorted to timeout. He started to hit his head', ' supine restraint used. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/10/19 12:40 PM ', 'X did not want to complete math and he put his head down', ' He then crawled under the table and tried to play with toys. He then attempted to run our of class. Became aggressive toward staff', ' support called to timeout. ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/11/19 12:15 PM ', 'X refused to do iReady. Started playing around the class', ' not time to play. Threw things out of his cubby. Hit and kicked staff. Support called', ' escorted to timeout. Banging his head. Supine used until calm. ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/23/199:45 AM ', 'was told it is time for work', ' he attempted to run out of class. He hit and kicked staff. Support called taken to hall. Aggressive with support and tried to run from them', ' Escorted to timeout. Hitting his head', ' small child then supine. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/25/19 8:25 AM ', 'Time to clean up. He tried to run form class. Door blocked. Became physical', ' throwing material .objects', ' punching and kicking. Escorted to timeout ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/25/19 10:10 AM ', 'left time out. Attempted to run from staff and exit building. Door was blocked and he started to kick and hit staff. Taken back to timeout to calm. ', 'Intervention: Time Out (minutes) ', nan, nan, nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/25/19 12:30 PM ', ""Couldn't got out with other students because he didn't finish work. Got upset and threw chairs and kicked staff. Support called. Escort to time out. Continued to be aggressive towards staff. Supine used. Released and aggressive again"", ' another hold needed. ', 'Intervention: Time Out (minutes) ', nan, nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '4/29/19 1:10 PM ', 'was in time out. He needed to complete his work that he refused to do earlier. He got upset and tried to leave. He hit and kicked staff. Small child used ', 'Intervention: Time Out (minutes) ', nan, nan, nan)",,MON1_RISI_01_table_Page_044,
"('2018-2019 ', '7/17/18 8:35 AM ', 'Student climbing on the railing of the stairs', ' asked to stop it was not safe. Blocked from climbing', ' became aggressive towards staff', ' kicking', ' hitting', ' scratching and swearing. Support escorted to timeout. ', 'Intervention: Time Out (minutes) ')",,MON1_RISI_01_table_Page_054,
"('2018-2019 ', '7/17/18 12:30 PM ', 'Targeting staff', ' hitting and kicking. Directed into hallway. Scratched staff', ' kicking and attempted to bite. Placed in small child. Squirmed loose', ' staff released', ' walked to time out. ', 'Intervention: Time Out (minutes) ', nan)",,MON1_RISI_01_table_Page_054,
"('2018-2019 ', '7/26/18 10:10 AM ', 'Student was playing on playground. Fire drill went off', ' he was directed to wait with class. Ran from staff', ' support escorted to time out. Kicking and hitting staff. ', 'Intervention: Time Out (minutes) ', nan, nan, nan)",,MON1_RISI_01_table_Page_054,
