,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,12/15/19,11:31,11:50,,MON2_SI_01_table_Page_138,,,,,
1,15-Dec,,1:26,,MON2_SI_01_table_Page_138,,,,,
2,18-Dec,1:27,1:40,,MON2_SI_01_table_Page_138,,,,,
3,16-Dec,10:15,10:30,,MON2_SI_01_table_Page_138,,,,,
4,16-Dec,9:30,9:35,,MON2_SI_01_table_Page_138,,,,,
5,16-Dec,9:40,9:48,,MON2_SI_01_table_Page_138,,,,,
6,16-Dec,10:40,10:50,,MON2_SI_01_table_Page_138,,,,,
7,16-Dec,11:52,12:17,,MON2_SI_01_table_Page_138,,,,,
8,16-Dec,12:22,12:38,,MON2_SI_01_table_Page_138,,,,,
9,19-Dec,9:31,4:45,,MON2_SI_01_table_Page_138,,,,,
10,19-Dec,10.8,10:24,,MON2_SI_01_table_Page_138,,,,,
11,19-Dec,10.25,,,MON2_SI_01_table_Page_138,,,,,
12,19-Dec,10:34,10:55,,MON2_SI_01_table_Page_138,,,,,
13,19-Dec,10:56,1108,,MON2_SI_01_table_Page_138,,,,,
14,13/19 ,10:33,11:01,,MON2_SI_01_table_Page_138,,,,,
15,19-Dec,,,,MON2_SI_01_table_Page_138,,,,,
16,19-Dec,12:53,,,MON2_SI_01_table_Page_138,,,,,
0,10/25 10/06 ,11:42 11:30 ,12:00 11:4 ,,MON2_SI_01_table_Page_128,,Hettery Kecking throwing shaff dist ,,,
1,27-Oct,9:21,9:30,,MON2_SI_01_table_Page_128,,,,,
2,10/27 10/27 0/28 10/28 10/28 10/28 10/28 10/34 ,9:57 10113 9:04 9:16 9.19 9:30 11:32 8:32 ,10:12 10:30 9:12 9:20 9:29 9.50 9.00 ,PS ,MON2_SI_01_table_Page_128,Adyt Adult Adult aga Adult Adult Adjet Adult ,,,,Hthy spiter tickinyatsteit Htter hith nettrgatening Hit of Bighteg 
3,31-Oct,9:40,,,MON2_SI_01_table_Page_128,,,,,
4,31-Oct,12:26,12:46,,MON2_SI_01_table_Page_128,,,one person Hold ,,
5,31-Oct,1:59,2:21,,MON2_SI_01_table_Page_128,,,,,
6,11/+ ,9:43,,,MON2_SI_01_table_Page_128,,etting staff ,,,
7,All ,1:00,,throwingmatends hitting ,MON2_SI_01_table_Page_128,,,,,
8,1-Nov,1:00,I.D.D ,,MON2_SI_01_table_Page_128,,6, screaning left ,,
0,11/9/18,8:30,,[un much larre ,MON2_SI_01_table_Page_131,,,,,
1,11/9/06,9.49,10.1,throwing running ,MON2_SI_01_table_Page_131,,,,,
2,,11:35,,thrownychariting ,MON2_SI_01_table_Page_131,,,,,
3,11/9/66,33,1:06,,MON2_SI_01_table_Page_131,,,,,
4,11/9/16,1:40,1:46,,MON2_SI_01_table_Page_131,,,,,
5,411,8:36,,,MON2_SI_01_table_Page_131,,,,,
6,11110,9.05,10.2,throwing chairs working Hitty stall runing to ,MON2_SI_01_table_Page_131,,,,,
7,14-Nov,8:47,9:05,Adult ,MON2_SI_01_table_Page_131,,,,,
8,14-Nov,9:35,9:55,,MON2_SI_01_table_Page_131,,,,,
9,14-Nov,10:15,16.4,,MON2_SI_01_table_Page_131,,,,,
10,14-Nov,11:02,0:24,,MON2_SI_01_table_Page_131,,,,,
11,14-Nov,11:38,11.5,,MON2_SI_01_table_Page_131,,,,,
12,,12:10,12:30,,MON2_SI_01_table_Page_131,,,,,
13,,,,,MON2_SI_01_table_Page_131,,,,,
14,13-Nov,,,,MON2_SI_01_table_Page_131,,,,,
0,2/8/17,9.05a.m ,9:25am ,Adult ,MON2_SI_01_table_Page_143,,,,,
1,2/8/17,11:18,11448,Hitt slea ,MON2_SI_01_table_Page_143,,,,,
2,2/8/17,12:40,12.54,s somealty ,MON2_SI_01_table_Page_143,,,,,
3,2/9/17,9:10,9.7,H.Hing ,MON2_SI_01_table_Page_143,,,,,
4,2/9/17,9:45,10:15,yelling ,MON2_SI_01_table_Page_143,,,,,
5,2/9/17,11:50,12:05,,MON2_SI_01_table_Page_143,,,,,
6,2/9/17,12:50,1:05,,MON2_SI_01_table_Page_143,,,,,
7,2/9/17,1025,1.3,,MON2_SI_01_table_Page_143,,,,,
8,2/10/17,9:1aa ,9:40,hitting adults yellowge ,MON2_SI_01_table_Page_143,,,,,
9,2/10/17,10:52,11:03,,MON2_SI_01_table_Page_143,,,,,
10,240117,1150,2:10,Adult ,MON2_SI_01_table_Page_143,,,,,
11,2/10/17,11:29,11:34,"Du "" Atwosted Staff ",MON2_SI_01_table_Page_143,,,,,
12,2/10/17,2:28,234,pushing Unite stafi ,MON2_SI_01_table_Page_143,,,,,
13,Zioln ,215,225,,MON2_SI_01_table_Page_143,,,,,
14,2/13/17,8:30,8:50,,MON2_SI_01_table_Page_143,,,,,
15,2/13/17,10:00am ,10:13,,MON2_SI_01_table_Page_143,,,,,
16,12/13/17,1:55,2:09,,MON2_SI_01_table_Page_143,,,,,
0,5126,8:45,8:55,HiHing staff ,MON2_SI_01_table_Page_153,,,,,
1,26-May,9:10,9:15,,MON2_SI_01_table_Page_153,,,,,
2,16-May,12:12,12:26,wanted to yelland ,MON2_SI_01_table_Page_153,,,,,
3,26-May,1:32,139,,MON2_SI_01_table_Page_153,,,,,
4,330,9:48,9.59,,MON2_SI_01_table_Page_153,,,,,
5,30-May,10:06,10:15,,MON2_SI_01_table_Page_153,,,,,
6,5130,10:05,11:30,Kelem ,MON2_SI_01_table_Page_153,,,,,
7,30-May,11:45,1215,,MON2_SI_01_table_Page_153,,,,,
8,5130,1940,1:47,,MON2_SI_01_table_Page_153,,,,,
9,31-May,2:25,2:38,Kicking ,MON2_SI_01_table_Page_153,,,,,
10,61,8:35,0.395833333,biding ran away ,MON2_SI_01_table_Page_153,,,,,
11,1-Jun,9:18,9:31,trying to Dight ,MON2_SI_01_table_Page_153,,,,,
