,0,1,2,3,4,5
0,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
1,,,,,Student became upset with staff when he was reminded he had work to make up and would not be able to join friends,
2,,,,Small child,in lunch. He then became very angry and tried hitting and kicking staff. He was put into a hold for student and staff,
3,,,,restraint 2 person,safety. He was able to quickly calm down and was released from the hold. He then was calm and in control and was,
4,2015-2016,Y,4/4/2016,"hold
Other",able to get some work done to go back to class.,
5,,,,,"Student began yelling in the cafeteria.  Staff redirected her to the support area.  She sat down, but then stood right",
6,,,,,"back up and tried to leave the support area.  Staff directed her to sit back down, she said ""shut up, b****"" and asked",
7,,,,,"staff if they were going to fight, while holding her hands in fists in front of her.  Staff asked for personal space and a",
8,,,,Small child,"respectful voice.  Student punched staff in the stomach.  Staff put student in a one-person small-child hold, which",
9,,,,restraint 2 person,became a 2-person when student tried to turn over onto her stomach.  Hold lasted for 12 minutes.  Student was,
10,2015-2016,Y,4/7/2016,"hold
Other",released and able to complete a quiet activity before returning to class.,
11,,,,,Student became upset because she could not go outside for free choice due to previous behaviors.  She tried to hit,
12,,,,,"staff, then tried to run out of the classroom and shoved staff in her way.  The other students were evacuated from the",
13,,,,,"room.  Staff attempted to calm student with a preferred music activity.  Student was distracted for a few minutes,",
14,,,,,"when another student looked in the window, which re-esculated student.  She grabbed staff's arms and put them",
15,,,,,"behind her back.  Staff regained her personal space, then walked across the room and sat down.  Student charged at",
16,,,,Small child,"staff, putting both fists in staff's stomach and tried to push her down.  Staff requested personal space.  Student grabbed",
17,,,,restraint 2 person,"staff's arm and pinched with both hands, then tried to bite staff.  Staff put student in a two-person small child hold.",
18,2015-2016,Y,6/10/2016,"hold
Classroom",Student was able to calm her body shortly and be released to walk with another staff to the support area.,
19,,,,Small child,xxx became disruptive and threw furniture in the classroom.  He was asked to leave the classroom and take a break,
20,,,,restraint 1 person,next door.  Once next door her tried to throw furniture and he was restrained for 2 minutes and then he was calm.  xxx,
21,2015-2016,Y,5/11/2016,"hold
Classroom",returned back to class by 2:40pm.,
22,,,,Small child,xxx did not want to leave the classroom during a fire drill.  He covered his ears and screamed.  Staff helped him walk,
23,,,,restraint 1 person,"outside and he continued screaming during the drill.  xxx wanted to run off, staff had him in a small child restraint for",
24,2015-2016,Y,6/10/2016,"hold
Outside",1.5 mins.  xxx ran away from staff once released and staff talked with him to have him go back in the building.,
25,,,,Small child,,
26,,,,restraint 1 person,xxx ran away from staff while reading outside.  He pushed one staff member and hit another staff member.  He was put,
27,2015-2016,Y,6/15/2016,"hold
Outside",in a small child restraint for 1 minute.  Staff redirected him and he came back to class 40 minutes later.,
28,,,,Small child,xxx was brought to counselor's office after being asked to leave PE early due to behavior. xxx appeared calm. He was,
29,,,,restraint 2 person,asked to begin his homework. xxx stood up and began hitting staff several times. A small child restraint was used for,
30,2015-2016,Y,2/29/2016,"hold
Therapy Room","safety. Following the restraint, xxx walked to the support area until he boarded his bus for dismissal.",
31,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
32,,,,,xxx was having difficulty displaying appropriate behaviors and following expectations from staff. He began yelling and,
33,,,,Small child,throwing items at adults and peer's. He attempted to become physically aggressive toward staff and was placed in a TCI,
34,,,,restraint 1 person,single person small child hold. After five minutes xxx was compliant with the letting go process as well as the LSI. He,
35,2015-2016,Y,3/8/2016,"hold
Calm Room",was able to process with staff appropriately and return to his baseline behavior.,
36,,,,,xxx was refusing to follow expectations given by staff. He became very disruptive and disrespectful toward adults and,
37,,,,Small child,peer's. He attempted to punch adults and was placed in a TCI single person small child hold. xxx complied with the,
38,,,,restraint 1 person,"letting go process after four minutes. xxx processed appropriately with adults, but refused to do any academic work at",
39,2015-2016,Y,3/9/2016,"hold
Calm Room",that time.,
40,,,,,xxx was in an altercation with another student during their music class.  He took his peer's toy and as his peer tried to,
41,,,,,"take his toy back, xxx punched him in the arm.  He was asked to leave the classroom and to go to the support area.",
42,,,,Small child,"While here, xxx was continuing to escalate and attempted to run out of the building.  He was able to get himself back in",
43,,,,restraint 1 person,"the support room.  At this point, he was yelling profanities, throwing objects at staff, kicked staff and was threatening",
44,2015-2016,Y,4/22/2016,"hold
Classroom",staff.  A staff member had to resort to the small child hold on xxx for ~5 minutes to keep himself and others safe.,
45,,,,2 person prone,,
46,2015-2016,N,2/10/2016,"hold
Classroom",Non-compliant and self injurious behavior,
47,,,,2 person prone,,
48,2015-2016,N,2/11/2016,"hold
Classroom",Non-compliance and self injurious behaviors,
49,,,,2 person prone,,
50,2015-2016,N,6/10/2016,"hold
Classroom",Threaten and physical harm to staff,
51,,,,,xxx arrived to school in the morning irritable and upset due to a difficult time getting ready for school. During writing,
52,,,,,"time, xxx mentioned dad picking him up from school which was never a planned event. xxx was able to work through",
53,,,,,"his day and ask for a break to take a rest twice for being tired and not feeling well. As he finished snack, he was",
54,,,,,prompted to get his book bag and coat on to which he refused and started yelling and being destructive to the,
55,,,,,"classroom (throwing things, ripping things off of shelves). The bus arrived and xxx was still not ready. The bus couldn't",
56,,,,,"wait any longer and departed from the school. As the bus was leaving, xxx escalated (throwing things, screaming,",
57,,,,,"crying). xxx required a seated restraint which was performed by xxx, xxx, xxx. (BOCES 2 staff). Once restrained, xxx",
58,,,,3 person prone,"deescalated quickly and as restraints were lifted, maintained laying on the floor until being picked up by his father and",
59,2015-2016,Y,3/10/2016,"hold
Classroom",older sister.,
60,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
61,,,,,"xxx came into school okay but appeared to be not his normal happy self. On the way to lunch, xxx screamed when an",
62,,,,,"aide told him to move back because he was too close to another student. In the cafeteria, xxx screamed again before",
63,,,,,"getting his lunch. Once seated at the lunch table, xxx began chewing and spitting out his food. He then started throwing",
64,,,,,"things off of his trey. Once standing, xxx began pushing tables and pulling on the blinds in the cafeteria. Once adults",
65,,,,,"came in close proximity, xxx began pushing the adults out of his way. A standing restraint was performed by the",
66,,,,,classroom teacher (xxx) and the vice principal (xxx). xxx was removed from the cafeteria and brought back into his,
67,2015-2016,Y,4/15/2016 Standing Hold,Classroom,classroom where he calmed down in the reading corner.,
68,,,,,xxx was playing with toy cars during quiet choice. xxx was given a 5 minute warning to clean up. When the timer ran,
69,,,,,"down, xxx began throwing the cars across the classroom. Once the other students were removed from the classroom,",
70,,,,3 person prone,"xxx began throwing tables, toys, and other classroom objects. xxx was put in a seated restraint by the classroom",
71,2015-2016,Y,4/15/2016,"hold
Classroom","teacher (xxxx), the school psychologist (ccc), and the vice principal (xxx.).",
72,,,,Small child,,
73,,,,restraint 1 person,student became upset with staﬀ and try to throw a chair at staﬀ .He was put in a one person standing hold. Students,
74,2015-2016,Y,1/27/2016,"hold
Calm Room",student stayed in calm room till he went home,
75,,,,,"After student was out of calm room, LSI was trying to be conducted and student began threatening to kick and spit",
76,,,,,"while using inappropriate language. Student then began to kick, hit and go after myself and another staff member in",
77,,,,Small child,the support area. Child was put in small child hold for 4min. Child continued to kick at legs and bang head against chest,
78,,,,restraint 1 person,while in hold. He then escalated and was placed back in calm room so he was no longer hurting himself and staff. LSI,
79,2015-2016,Y,1/28/2016,"hold
Other",was not conducted at the end of the day.,
80,,,,,xxx was taking time away within the support area. He began negative seeking behaviors by kicking the desk and making,
81,,,,Small child,"loud noises. Once prompted to use an ""inside voice"" xxx became disrespectful and vulgar toward staff. He spat in staff's",
82,,,,restraint 1 person,face and began punching and kicking them. At this time xxx was placed in a TCI small child hold with lasted eight,
83,2015-2016,Y,5/2/2016,"hold
Calm Room",minutes. He was able to process the letting go process and LSI. He was able to return to his baseline behaviors.,
84,,,,,"Student became upset when teacher went to help him on the computer he started to punch ,kick staff. He went out in",
85,,,,Small child,the hallway and was place in a small child restrain one person hold staff was able to get student to go to the clam room,
86,,,,restraint 1 person,.When student was in the room he became unsafe  and had to be put into a one person small child hold. Student was,
87,2015-2016,Y,5/10/2016,"hold
Classroom",LSI when parent came to pick him for doctor appointment.,
