Date ,Time In ,Time Out ,Details ,,,,,
10/25 10/06 ,11:42 11:30 ,12:00 11:4 ,,,Hettery Kecking throwing shaff dist ,,,
27-Oct,9:21,9:30,,,,,,
10/27 10/27 0/28 10/28 10/28 10/28 10/28 10/34 ,9:57 10113 9:04 9:16 9.19 9:30 11:32 8:32 ,10:12 10:30 9:12 9:20 9:29 9.50 9.00 ,PS ,Adyt Adult Adult aga Adult Adult Adjet Adult ,,,,Hthy spiter tickinyatsteit Htter hith nettrgatening Hit of Bighteg 
31-Oct,9:40,,,,,,,
31-Oct,12:26,12:46,,,,one person Hold ,,
31-Oct,1:59,2:21,,,,,,
11/+ ,9:43,,,,etting staff ,,,
All ,1:00,,throwingmatends hitting ,,,,,
1-Nov,1:00,I.D.D ,,,6, screaning left ,,
