Date ,Time In ,Time Out ,Details 
8-Dec,10:56 AM,11:30Am ,
121s ,12:08,,Throwing stuff in the 
1218,11.21,11:35,threw iron as stuff 
Dec-00,9:00a.m ,9:Dam ,
12-Dec,9:19a ,9:35,
12-Dec,1045,,
2-Dec,11:36,11:45,
12-Dec,11:45,11:56,
13-Dec,8:45,8,
12-Dec,11.3,,running from staff 
12-Dec,9:00,, runing 
12-Dec,12:30,,yelloy at others students. 
14-Dec,1:30,,"yellin	 liting "
13/14 ,1'30 ,,Hitting other statement 
15-Dec,10:30,,Adult 
14-Dec,10:30,11:00,
14-Dec,9115,9:45,Destroged the room 
