Date ,Time In ,Time Out ,Details ,
Q/A ,201,2:15p ,,
20-Dec,19.25c ,9:35a ,,
20-Dec,10:llam ,10:25,against system, Taking 
127/20 ,1:45pm ,1:50pm ,kicking ,
20-Dec,2:10pm ,,all nair hitting wishing ,
W120 ,1:00,1.2,unsaie behavior ,
171-5 ,USD ,7.1,Lust Staff ,
21-Dec,10,10.2,Ran to y common ,
2-Dec,10:50,,Threarned 5thff ,
21-Dec,11:34,11:48,stylf ,
Oct-91,11:56,12 14 ,,
21-Dec,1:32,138,,
12/f1 ,1:52,2:08,Adult ,
22-Dec,850,9:05,,
23-Dec,10:00,10:12,,
23-Dec,10:40,11:00,,
23-Dec,11:10,11:20,,
